,Ticker,DateTime,Open,Close,Volume,High,Low
59,AAPL,2020-11-23,117.19,113.85,1014171,117.63,113.75
60,AAPL,2020-11-24,113.91,115.17,910876,115.85,112.59
61,AAPL,2020-11-25,115.54,116.03,610314,116.75,115.17
62,AAPL,2020-11-27,116.57,116.59,381739,117.49,116.22
63,AAPL,2020-11-30,116.94,119.05,1141610,120.97,116.81
64,AAPL,2020-12-01,121.03,122.72,999805,123.47,120.01
65,AAPL,2020-12-02,122.03,123.08,671595,123.37,120.89
66,AAPL,2020-12-03,123.52,122.94,602816,123.78,122.21
67,AAPL,2020-12-04,122.55,122.25,568473,122.87,121.52
68,AAPL,2020-12-07,122.38,123.75,648764,124.57,122.22
69,AAPL,2020-12-08,124.37,124.38,622109,124.98,123.09
70,AAPL,2020-12-09,124.51,121.78,864846,125.95,121.0
71,AAPL,2020-12-10,120.48,123.24,621504,123.87,120.15
72,AAPL,2020-12-11,122.49,122.41,646562,122.76,120.55
73,AAPL,2020-12-14,122.58,121.78,526441,123.35,121.54
74,AAPL,2020-12-15,124.42,127.88,1207939,127.9,124.13
75,AAPL,2020-12-16,127.38,127.81,728583,128.37,126.56
76,AAPL,2020-12-17,128.91,128.7,650842,129.58,128.04
77,AAPL,2020-12-18,128.93,126.655,951375,129.1,126.12
78,AAPL,2020-12-21,125.04,128.23,873991,128.31,123.44
79,AAPL,2020-12-22,131.59,131.88,1390184,134.41,129.65
80,AAPL,2020-12-23,132.14,130.96,655247,132.43,130.78
81,AAPL,2020-12-24,131.33,131.97,458572,133.46,131.1
82,AAPL,2020-12-28,133.99,136.69,1010453,137.34,133.51
83,AAPL,2020-12-29,138.07,134.87,1003502,138.79,134.34
84,AAPL,2020-12-30,135.54,133.72,769924,135.99,133.4
85,AAPL,2020-12-31,134.04,132.69,748429,134.74,131.72
86,AAPL,2021-01-04,133.52,129.41,1006555,133.62,126.8
87,AAPL,2021-01-05,128.88,131.01,722584,131.74,128.43
88,AAPL,2021-01-06,127.72,126.6,1215915,131.05,126.38
89,AAPL,2021-01-07,128.4,130.92,843085,131.63,127.86
90,AAPL,2021-01-08,132.43,132.05,814048,132.63,130.23
91,AAPL,2021-01-11,129.16,128.98,729223,130.17,128.5
92,AAPL,2021-01-12,128.52,128.8,719255,129.69,126.86
93,AAPL,2021-01-13,128.69,130.89,691943,131.45,128.49
94,AAPL,2021-01-14,130.8,128.91,667261,131.0,128.76
95,AAPL,2021-01-15,128.68,127.14,770162,130.23,127.0
96,AAPL,2021-01-19,127.72,127.83,609678,128.71,126.93
97,AAPL,2021-01-20,128.59,132.03,768749,132.49,128.55
98,AAPL,2021-01-21,133.84,136.87,916987,139.67,133.59
99,AAPL,2021-01-22,136.3,139.07,895298,139.85,135.02
